localfile	url	serverversion	size	downloaddate	lastmoddate
00000538.tmp	http://www.domain3.tl0/page7.html	SomeServer/1.0	516	2008-03-01	2007-12-08
00000539.tmp	http://www.domain3.tl0/page8.html	SomeServer/1.0	14804	2008-03-01	2008-02-11
00000540.tmp	http://www.domain3.tl0/page9.html	SomeServer/1.0	3454	2008-03-01	2008-02-21
00000541.tmp	http://www.domain4.tl0/page0.html	SomeServer/2.0	9684	2008-03-01	2008-01-06
00000542.tmp	http://www.domain4.tl0/page1.html	SomeServer/2.0	1419	2008-03-01	2008-02-24
00000543.tmp	http://www.domain4.tl0/page2.html	SomeServer/2.0	10683	2008-03-01	2008-01-09
00000544.tmp	http://www.domain4.tl0/page3.html	SomeServer/2.0	9011	2008-03-01	2008-01-25
00000545.tmp	http://www.domain4.tl0/page4.html	SomeServer/2.0	6439	2008-03-01	2008-01-20
00000546.tmp	http://www.domain4.tl0/page5.html	SomeServer/2.0	8930	2008-03-01	2008-02-18
00000547.tmp	http://www.domain4.tl0/page6.html	SomeServer/2.0	3898	2008-03-01	2008-02-03
00000548.tmp	http://www.domain4.tl0/page7.html	SomeServer/2.0	4802	2008-03-01	2008-02-23
00000549.tmp	http://www.domain4.tl0/page8.html	SomeServer/2.0	9475	2008-03-01	2008-02-04
00000550.tmp	http://www.domain4.tl0/page9.html	SomeServer/2.0	9538	2008-03-01	2008-02-08
00000551.tmp	http://www.domain0.tl1/page0.html	SomeServer/1.0	366	2008-03-01	2007-12-05
00000552.tmp	http://www.domain0.tl1/page1.html	SomeServer/1.0	1911	2008-03-01	2008-02-26
00000553.tmp	http://www.domain0.tl1/page2.html	SomeServer/1.0	12308	2008-03-01	2008-02-12
00000554.tmp	http://www.domain0.tl1/page3.html	SomeServer/1.0	2096	2008-03-01	2008-02-21
00000555.tmp	http://www.domain0.tl1/page4.html	SomeServer/1.0	6931	2008-03-01	2008-01-07
00000556.tmp	http://www.domain0.tl1/page5.html	SomeServer/1.0	4886	2008-03-01	2007-12-19
00000557.tmp	http://www.domain0.tl1/page6.html	SomeServer/1.0	182	2008-03-01	2008-01-05
00000558.tmp	http://www.domain0.tl1/page7.html	SomeServer/1.0	4665	2008-03-01	2007-12-25
00000559.tmp	http://www.domain0.tl1/page8.html	SomeServer/1.0	5733	2008-03-01	2008-02-15
00000560.tmp	http://www.domain0.tl1/page9.html	SomeServer/1.0	4088	2008-03-01	2008-02-19
00000561.tmp	http://www.domain1.tl1/page0.html	SomeServer/2.0	13829	2008-03-01	2008-02-15
00000562.tmp	http://www.domain1.tl1/page1.html	SomeServer/2.0	14520	2008-03-01	2008-02-22
00000563.tmp	http://www.domain1.tl1/page2.html	SomeServer/2.0	14610	2008-03-01	2007-12-21
00000564.tmp	http://www.domain1.tl1/page3.html	SomeServer/2.0	5732	2008-03-01	2007-12-11
00000565.tmp	http://www.domain1.tl1/page4.html	SomeServer/2.0	8835	2008-03-01	2008-01-16
00000566.tmp	http://www.domain1.tl1/page5.html	SomeServer/2.0	2031	2008-03-01	2008-02-17
00000567.tmp	http://www.domain1.tl1/page6.html	SomeServer/2.0	11069	2008-03-01	2008-01-17
00000568.tmp	http://www.domain1.tl1/page7.html	SomeServer/2.0	13506	2008-03-01	2007-12-02
00000569.tmp	http://www.domain1.tl1/page8.html	SomeServer/2.0	4983	2008-03-01	2007-12-28
00000570.tmp	http://www.domain1.tl1/page9.html	SomeServer/2.0	8126	2008-03-01	2008-02-26
00000571.tmp	http://www.domain2.tl1/page0.html	SuperServer/3.0	1501	2008-03-01	2008-02-20
00000572.tmp	http://www.domain2.tl1/page1.html	SuperServer/3.0	13248	2008-03-01	2007-12-20
00000573.tmp	http://www.domain2.tl1/page2.html	SuperServer/3.0	14785	2008-03-01	2007-12-08
00000574.tmp	http://www.domain2.tl1/page3.html	SuperServer/3.0	5652	2008-03-01	2008-01-22
00000575.tmp	http://www.domain2.tl1/page4.html	SuperServer/3.0	8970	2008-03-01	2008-02-07
00000576.tmp	http://www.domain2.tl1/page5.html	SuperServer/3.0	7875	2008-03-01	2008-02-07
00000577.tmp	http://www.domain2.tl1/page6.html	SuperServer/3.0	4439	2008-03-01	2007-12-25
00000578.tmp	http://www.domain2.tl1/page7.html	SuperServer/3.0	14724	2008-03-01	2008-02-22
00000579.tmp	http://www.domain2.tl1/page8.html	SuperServer/3.0	8312	2008-03-01	2007-12-04
00000580.tmp	http://www.domain2.tl1/page9.html	SuperServer/3.0	6931	2008-03-01	2008-02-24
00000581.tmp	http://www.domain3.tl1/page0.html	SomeServer/1.0	12445	2008-03-01	2007-12-11
00000582.tmp	http://www.domain3.tl1/page1.html	SomeServer/1.0	11751	2008-03-01	2007-12-12
00000583.tmp	http://www.domain3.tl1/page2.html	SomeServer/1.0	4354	2008-03-01	2008-02-03
00000584.tmp	http://www.domain3.tl1/page3.html	SomeServer/1.0	14860	2008-03-01	2008-02-24
00000585.tmp	http://www.domain3.tl1/page4.html	SomeServer/1.0	3943	2008-03-01	2008-01-15
00000586.tmp	http://www.domain3.tl1/page5.html	SomeServer/1.0	11971	2008-03-01	2008-02-24
00000587.tmp	http://www.domain3.tl1/page6.html	SomeServer/1.0	5976	2008-03-01	2008-02-26
00000588.tmp	http://www.domain3.tl1/page7.html	SomeServer/1.0	696	2008-03-01	2007-12-08
00000589.tmp	http://www.domain3.tl1/page8.html	SomeServer/1.0	8328	2008-03-01	2008-02-26
00000590.tmp	http://www.domain3.tl1/page9.html	SomeServer/1.0	3697	2008-03-01	2007-12-22
00000591.tmp	http://www.domain4.tl1/page0.html	SomeServer/2.0	3515	2008-03-01	2008-01-02
00000592.tmp	http://www.domain4.tl1/page1.html	SomeServer/2.0	4828	2008-03-01	2008-02-06
00000593.tmp	http://www.domain4.tl1/page2.html	SomeServer/2.0	12780	2008-03-01	2008-02-09
00000594.tmp	http://www.domain4.tl1/page3.html	SomeServer/2.0	11829	2008-03-01	2008-02-22
00000595.tmp	http://www.domain4.tl1/page4.html	SomeServer/2.0	1428	2008-03-01	2008-01-18
00000596.tmp	http://www.domain4.tl1/page5.html	SomeServer/2.0	11884	2008-03-01	2008-02-17
00000597.tmp	http://www.domain4.tl1/page6.html	SomeServer/2.0	14551	2008-03-01	2007-12-28
00000598.tmp	http://www.domain4.tl1/page7.html	SomeServer/2.0	314	2008-03-01	2008-02-26
00000599.tmp	http://www.domain4.tl1/page8.html	SomeServer/2.0	6352	2008-03-01	2008-01-20
00000600.tmp	http://www.domain4.tl1/page9.html	SomeServer/2.0	3960	2008-03-01	2007-12-16
00000601.tmp	http://www.domain0.tl2/page0.html	SomeServer/1.0	9598	2008-03-01	2008-02-17
00000602.tmp	http://www.domain0.tl2/page1.html	SomeServer/1.0	14753	2008-03-01	2007-12-14
00000603.tmp	http://www.domain0.tl2/page2.html	SomeServer/1.0	12723	2008-03-01	2008-02-14
00000604.tmp	http://www.domain0.tl2/page3.html	SomeServer/1.0	12174	2008-03-01	2008-02-02
00000605.tmp	http://www.domain0.tl2/page4.html	SomeServer/1.0	1399	2008-03-01	2008-01-12
00000606.tmp	http://www.domain0.tl2/page5.html	SomeServer/1.0	4484	2008-03-01	2008-01-15
00000607.tmp	http://www.domain0.tl2/page6.html	SomeServer/1.0	1830	2008-03-01	2008-01-25
00000608.tmp	http://www.domain0.tl2/page7.html	SomeServer/1.0	2308	2008-03-01	2008-02-04
00000609.tmp	http://www.domain0.tl2/page8.html	SomeServer/1.0	1156	2008-03-01	2007-12-04
00000610.tmp	http://www.domain0.tl2/page9.html	SomeServer/1.0	12340	2008-03-01	2008-02-28
00000611.tmp	http://www.domain1.tl2/page0.html	SomeServer/2.0	9172	2008-03-01	2008-02-03
00000612.tmp	http://www.domain1.tl2/page1.html	SomeServer/2.0	14882	2008-03-01	2008-01-09
00000613.tmp	http://www.domain1.tl2/page2.html	SomeServer/2.0	12317	2008-03-01	2008-02-09
00000614.tmp	http://www.domain1.tl2/page3.html	SomeServer/2.0	8301	2008-03-01	2008-02-17
00000615.tmp	http://www.domain1.tl2/page4.html	SomeServer/2.0	1216	2008-03-01	2008-02-06
00000616.tmp	http://www.domain1.tl2/page5.html	SomeServer/2.0	4082	2008-03-01	2008-02-04
00000617.tmp	http://www.domain1.tl2/page6.html	SomeServer/2.0	9894	2008-03-01	2008-01-26
00000618.tmp	http://www.domain1.tl2/page7.html	SomeServer/2.0	4016	2008-03-01	2008-02-07
00000619.tmp	http://www.domain1.tl2/page8.html	SomeServer/2.0	11218	2008-03-01	2007-12-20
00000620.tmp	http://www.domain1.tl2/page9.html	SomeServer/2.0	12652	2008-03-01	2008-01-08
00000621.tmp	http://www.domain2.tl2/page0.html	SuperServer/3.0	4590	2008-03-01	2008-02-25
00000622.tmp	http://www.domain2.tl2/page1.html	SuperServer/3.0	12348	2008-03-01	2008-02-04
00000623.tmp	http://www.domain2.tl2/page2.html	SuperServer/3.0	8167	2008-03-01	2007-12-24
00000624.tmp	http://www.domain2.tl2/page3.html	SuperServer/3.0	12905	2008-03-01	2008-02-05
00000625.tmp	http://www.domain2.tl2/page4.html	SuperServer/3.0	9174	2008-03-01	2008-01-06
00000626.tmp	http://www.domain2.tl2/page5.html	SuperServer/3.0	8602	2008-03-01	2007-12-03
00000627.tmp	http://www.domain2.tl2/page6.html	SuperServer/3.0	527	2008-03-01	2008-02-10
00000628.tmp	http://www.domain2.tl2/page7.html	SuperServer/3.0	13315	2008-03-01	2008-02-03
00000629.tmp	http://www.domain2.tl2/page8.html	SuperServer/3.0	9988	2008-03-01	2008-02-25
00000630.tmp	http://www.domain2.tl2/page9.html	SuperServer/3.0	7978	2008-03-01	2007-12-15
00000631.tmp	http://www.domain3.tl2/page0.html	SomeServer/1.0	3041	2008-03-01	2008-02-05
00000632.tmp	http://www.domain3.tl2/page1.html	SomeServer/1.0	2800	2008-03-01	2008-01-25
00000633.tmp	http://www.domain3.tl2/page2.html	SomeServer/1.0	1924	2008-03-01	2008-02-09
00000634.tmp	http://www.domain3.tl2/page3.html	SomeServer/1.0	13614	2008-03-01	2007-12-26
00000635.tmp	http://www.domain3.tl2/page4.html	SomeServer/1.0	9712	2008-03-01	2008-01-23
00000636.tmp	http://www.domain3.tl2/page5.html	SomeServer/1.0	5090	2008-03-01	2008-02-28
00000637.tmp	http://www.domain3.tl2/page6.html	SomeServer/1.0	3374	2008-03-01	2008-02-27
00000638.tmp	http://www.domain3.tl2/page7.html	SomeServer/1.0	10419	2008-03-01	2007-12-24
00000639.tmp	http://www.domain3.tl2/page8.html	SomeServer/1.0	580	2008-03-01	2008-02-08
00000640.tmp	http://www.domain3.tl2/page9.html	SomeServer/1.0	236	2008-03-01	2008-02-22
00000641.tmp	http://www.domain4.tl2/page0.html	SomeServer/2.0	8611	2008-03-01	2007-12-06
00000642.tmp	http://www.domain4.tl2/page1.html	SomeServer/2.0	623	2008-03-01	2008-02-16
00000643.tmp	http://www.domain4.tl2/page2.html	SomeServer/2.0	3471	2008-03-01	2008-01-07
00000644.tmp	http://www.domain4.tl2/page3.html	SomeServer/2.0	13276	2008-03-01	2008-01-13
00000645.tmp	http://www.domain4.tl2/page4.html	SomeServer/2.0	10976	2008-03-01	2007-12-03
00000646.tmp	http://www.domain4.tl2/page5.html	SomeServer/2.0	12139	2008-03-01	2007-12-18
00000647.tmp	http://www.domain4.tl2/page6.html	SomeServer/2.0	13702	2008-03-01	2007-12-27
00000648.tmp	http://www.domain4.tl2/page7.html	SomeServer/2.0	3009	2008-03-01	2008-02-06
00000649.tmp	http://www.domain4.tl2/page8.html	SomeServer/2.0	4525	2008-03-01	2008-02-27
00000650.tmp	http://www.domain4.tl2/page9.html	SomeServer/2.0	7825	2008-03-01	2008-01-02
00000651.tmp	http://www.domain0.tl3/page0.html	SomeServer/1.0	6550	2008-03-01	2007-12-06
00000652.tmp	http://www.domain0.tl3/page1.html	SomeServer/1.0	1982	2008-03-01	2007-12-26
00000653.tmp	http://www.domain0.tl3/page2.html	SomeServer/1.0	1876	2008-03-01	2007-12-18
00000654.tmp	http://www.domain0.tl3/page3.html	SomeServer/1.0	10250	2008-03-01	2008-01-03
00000655.tmp	http://www.domain0.tl3/page4.html	SomeServer/1.0	10002	2008-03-01	2008-02-27
00000656.tmp	http://www.domain0.tl3/page5.html	SomeServer/1.0	1637	2008-03-01	2008-01-10
00000657.tmp	http://www.domain0.tl3/page6.html	SomeServer/1.0	5220	2008-03-01	2008-02-03
00000658.tmp	http://www.domain0.tl3/page7.html	SomeServer/1.0	4343	2008-03-01	2007-12-16
00000659.tmp	http://www.domain0.tl3/page8.html	SomeServer/1.0	12083	2008-03-01	2008-02-27
00000660.tmp	http://www.domain0.tl3/page9.html	SomeServer/1.0	8498	2008-03-01	2008-02-16
00000661.tmp	http://www.domain1.tl3/page0.html	SomeServer/2.0	7216	2008-03-01	2008-02-20
00000662.tmp	http://www.domain1.tl3/page1.html	SomeServer/2.0	12872	2008-03-01	2008-02-14
00000663.tmp	http://www.domain1.tl3/page2.html	SomeServer/2.0	4177	2008-03-01	2008-01-15
00000664.tmp	http://www.domain1.tl3/page3.html	SomeServer/2.0	10167	2008-03-01	2008-02-16
00000665.tmp	http://www.domain1.tl3/page4.html	SomeServer/2.0	12105	2008-03-01	2008-02-18
00000666.tmp	http://www.domain1.tl3/page5.html	SomeServer/2.0	12666	2008-03-01	2008-01-18
00000667.tmp	http://www.domain1.tl3/page6.html	SomeServer/2.0	6137	2008-03-01	2008-01-20
00000668.tmp	http://www.domain1.tl3/page7.html	SomeServer/2.0	783	2008-03-01	2008-02-14
00000669.tmp	http://www.domain1.tl3/page8.html	SomeServer/2.0	3559	2008-03-01	2008-02-13
00000670.tmp	http://www.domain1.tl3/page9.html	SomeServer/2.0	13890	2008-03-01	2008-02-20
00000671.tmp	http://www.domain2.tl3/page0.html	SuperServer/3.0	5820	2008-03-01	2008-02-13
00000672.tmp	http://www.domain2.tl3/page1.html	SuperServer/3.0	5409	2008-03-01	2008-02-23
00000673.tmp	http://www.domain2.tl3/page2.html	SuperServer/3.0	3831	2008-03-01	2008-01-09
00000674.tmp	http://www.domain2.tl3/page3.html	SuperServer/3.0	11157	2008-03-01	2008-02-10
00000675.tmp	http://www.domain2.tl3/page4.html	SuperServer/3.0	6193	2008-03-01	2007-12-22
00000676.tmp	http://www.domain2.tl3/page5.html	SuperServer/3.0	4649	2008-03-01	2007-12-06
00000677.tmp	http://www.domain2.tl3/page6.html	SuperServer/3.0	11826	2008-03-01	2008-02-25
00000678.tmp	http://www.domain2.tl3/page7.html	SuperServer/3.0	10875	2008-03-01	2008-01-20
00000679.tmp	http://www.domain2.tl3/page8.html	SuperServer/3.0	12933	2008-03-01	2007-12-17
00000680.tmp	http://www.domain2.tl3/page9.html	SuperServer/3.0	13479	2008-03-01	2007-12-22
00000681.tmp	http://www.domain3.tl3/page0.html	SomeServer/1.0	9717	2008-03-01	2008-02-05
00000682.tmp	http://www.domain3.tl3/page1.html	SomeServer/1.0	14397	2008-03-01	2008-02-18
00000683.tmp	http://www.domain3.tl3/page2.html	SomeServer/1.0	3322	2008-03-01	2008-01-24
00000684.tmp	http://www.domain3.tl3/page3.html	SomeServer/1.0	10538	2008-03-01	2008-02-06
00000685.tmp	http://www.domain3.tl3/page4.html	SomeServer/1.0	7612	2008-03-01	2008-02-17
00000686.tmp	http://www.domain3.tl3/page5.html	SomeServer/1.0	5788	2008-03-01	2008-01-13
00000687.tmp	http://www.domain3.tl3/page6.html	SomeServer/1.0	2365	2008-03-01	2007-12-24
00000688.tmp	http://www.domain3.tl3/page7.html	SomeServer/1.0	4119	2008-03-01	2008-01-20
00000689.tmp	http://www.domain3.tl3/page8.html	SomeServer/1.0	6975	2008-03-01	2008-02-25
00000690.tmp	http://www.domain3.tl3/page9.html	SomeServer/1.0	13804	2008-03-01	2008-01-19
00000691.tmp	http://www.domain4.tl3/page0.html	SomeServer/2.0	14198	2008-03-01	2007-12-20
00000692.tmp	http://www.domain4.tl3/page1.html	SomeServer/2.0	9157	2008-03-01	2008-02-18
00000693.tmp	http://www.domain4.tl3/page2.html	SomeServer/2.0	3728	2008-03-01	2008-02-12
00000694.tmp	http://www.domain4.tl3/page3.html	SomeServer/2.0	6186	2008-03-01	2008-01-18
00000695.tmp	http://www.domain4.tl3/page4.html	SomeServer/2.0	5586	2008-03-01	2007-12-15
00000696.tmp	http://www.domain4.tl3/page5.html	SomeServer/2.0	11183	2008-03-01	2008-02-25
00000697.tmp	http://www.domain4.tl3/page6.html	SomeServer/2.0	12244	2008-03-01	2007-12-09
00000698.tmp	http://www.domain4.tl3/page7.html	SomeServer/2.0	4678	2008-03-01	2008-02-15
00000699.tmp	http://www.domain4.tl3/page8.html	SomeServer/2.0	564	2008-03-01	2008-02-12
00000700.tmp	http://www.domain4.tl3/page9.html	SomeServer/2.0	13129	2008-03-01	2008-02-15
00000701.tmp	http://www.domain0.tl4/page0.html	SomeServer/1.0	5409	2008-03-01	2008-01-09
00000702.tmp	http://www.domain0.tl4/page1.html	SomeServer/1.0	8796	2008-03-01	2008-02-09
00000703.tmp	http://www.domain0.tl4/page2.html	SomeServer/1.0	4214	2008-03-01	2008-02-02
00000704.tmp	http://www.domain0.tl4/page3.html	SomeServer/1.0	3673	2008-03-01	2008-01-17
00000705.tmp	http://www.domain0.tl4/page4.html	SomeServer/1.0	6709	2008-03-01	2007-12-26
00000706.tmp	http://www.domain0.tl4/page5.html	SomeServer/1.0	9133	2008-03-01	2007-12-09
00000707.tmp	http://www.domain0.tl4/page6.html	SomeServer/1.0	13067	2008-03-01	2008-02-22
00000708.tmp	http://www.domain0.tl4/page7.html	SomeServer/1.0	14846	2008-03-01	2008-02-09
00000709.tmp	http://www.domain0.tl4/page8.html	SomeServer/1.0	11604	2008-03-01	2008-01-03
00000710.tmp	http://www.domain0.tl4/page9.html	SomeServer/1.0	1685	2008-03-01	2007-12-12
00000711.tmp	http://www.domain1.tl4/page0.html	SomeServer/2.0	1589	2008-03-01	2007-12-07
00000712.tmp	http://www.domain1.tl4/page1.html	SomeServer/2.0	7719	2008-03-01	2008-02-05
00000713.tmp	http://www.domain1.tl4/page2.html	SomeServer/2.0	14680	2008-03-01	2008-02-03
00000714.tmp	http://www.domain1.tl4/page3.html	SomeServer/2.0	7833	2008-03-01	2008-01-03
00000715.tmp	http://www.domain1.tl4/page4.html	SomeServer/2.0	13382	2008-03-01	2008-01-06
00000716.tmp	http://www.domain1.tl4/page5.html	SomeServer/2.0	12803	2008-03-01	2008-02-03
00000717.tmp	http://www.domain1.tl4/page6.html	SomeServer/2.0	14631	2008-03-01	2008-01-02
00000718.tmp	http://www.domain1.tl4/page7.html	SomeServer/2.0	5057	2008-03-01	2008-02-02
00000719.tmp	http://www.domain1.tl4/page8.html	SomeServer/2.0	3257	2008-03-01	2007-12-21
00000720.tmp	http://www.domain1.tl4/page9.html	SomeServer/2.0	1585	2008-03-01	2008-01-11
00000721.tmp	http://www.domain2.tl4/page0.html	SuperServer/3.0	9884	2008-03-01	2008-01-23
00000722.tmp	http://www.domain2.tl4/page1.html	SuperServer/3.0	4861	2008-03-01	2007-12-12
00000723.tmp	http://www.domain2.tl4/page2.html	SuperServer/3.0	3845	2008-03-01	2008-02-08
00000724.tmp	http://www.domain2.tl4/page3.html	SuperServer/3.0	11403	2008-03-01	2007-12-06
00000725.tmp	http://www.domain2.tl4/page4.html	SuperServer/3.0	3655	2008-03-01	2008-02-16
00000726.tmp	http://www.domain2.tl4/page5.html	SuperServer/3.0	951	2008-03-01	2007-12-12
00000727.tmp	http://www.domain2.tl4/page6.html	SuperServer/3.0	8614	2008-03-01	2008-01-27
00000728.tmp	http://www.domain2.tl4/page7.html	SuperServer/3.0	2333	2008-03-01	2008-01-12
00000729.tmp	http://www.domain2.tl4/page8.html	SuperServer/3.0	737	2008-03-01	2007-12-09
00000730.tmp	http://www.domain2.tl4/page9.html	SuperServer/3.0	1456	2008-03-01	2007-12-02
00000731.tmp	http://www.domain3.tl4/page0.html	SomeServer/1.0	11446	2008-03-01	2008-02-07
00000732.tmp	http://www.domain3.tl4/page1.html	SomeServer/1.0	9979	2008-03-01	2007-12-12
00000733.tmp	http://www.domain3.tl4/page2.html	SomeServer/1.0	1557	2008-03-01	2008-02-23
00000734.tmp	http://www.domain3.tl4/page3.html	SomeServer/1.0	2279	2008-03-01	2008-02-24
00000735.tmp	http://www.domain3.tl4/page4.html	SomeServer/1.0	5309	2008-03-01	2007-12-18
00000736.tmp	http://www.domain3.tl4/page5.html	SomeServer/1.0	12408	2008-03-01	2008-01-27
00000737.tmp	http://www.domain3.tl4/page6.html	SomeServer/1.0	6248	2008-03-01	2007-12-07
00000738.tmp	http://www.domain3.tl4/page7.html	SomeServer/1.0	6419	2008-03-01	2007-12-19
00000739.tmp	http://www.domain3.tl4/page8.html	SomeServer/1.0	6694	2008-03-01	2008-02-23
00000740.tmp	http://www.domain3.tl4/page9.html	SomeServer/1.0	1876	2008-03-01	2008-02-07
00000741.tmp	http://www.domain4.tl4/page0.html	SomeServer/2.0	1827	2008-03-01	2008-02-27
00000742.tmp	http://www.domain4.tl4/page1.html	SomeServer/2.0	3375	2008-03-01	2008-02-09
00000743.tmp	http://www.domain4.tl4/page2.html	SomeServer/2.0	14038	2008-03-01	2008-01-27
00000744.tmp	http://www.domain4.tl4/page3.html	SomeServer/2.0	697	2008-03-01	2007-12-16
00000745.tmp	http://www.domain4.tl4/page4.html	SomeServer/2.0	7745	2008-03-01	2008-01-13
00000746.tmp	http://www.domain4.tl4/page5.html	SomeServer/2.0	14044	2008-03-01	2008-01-21
00000747.tmp	http://www.domain4.tl4/page6.html	SomeServer/2.0	10390	2008-03-01	2008-01-19
00000748.tmp	http://www.domain4.tl4/page7.html	SomeServer/2.0	3794	2008-03-01	2008-01-23
00000749.tmp	http://www.domain4.tl4/page8.html	SomeServer/2.0	4767	2008-03-01	2007-12-05
00000750.tmp	http://www.domain4.tl4/page9.html	SomeServer/2.0	5866	2008-03-01	2008-01-17
00000751.tmp	http://www.domain0.tl0/page0.html	SomeServer/1.0	9928	2008-04-01	2008-03-18
00000752.tmp	http://www.domain0.tl0/page1.html	SomeServer/1.0	5859	2008-04-01	2008-03-13
00000753.tmp	http://www.domain0.tl0/page2.html	SomeServer/1.0	11852	2008-04-01	2007-12-04
00000754.tmp	http://www.domain0.tl0/page3.html	SomeServer/1.0	13173	2008-04-01	2008-03-26
00000755.tmp	http://www.domain0.tl0/page4.html	SomeServer/1.0	1796	2008-04-01	2008-03-03
00000756.tmp	http://www.domain0.tl0/page5.html	SomeServer/1.0	13294	2008-04-01	2008-03-16
00000757.tmp	http://www.domain0.tl0/page6.html	SomeServer/1.0	13969	2008-04-01	2008-03-22
00000758.tmp	http://www.domain0.tl0/page7.html	SomeServer/1.0	6785	2008-04-01	2008-02-15
00000759.tmp	http://www.domain0.tl0/page8.html	SomeServer/1.0	13463	2008-04-01	2008-01-24
00000760.tmp	http://www.domain0.tl0/page9.html	SomeServer/1.0	6624	2008-04-01	2007-12-15
00000761.tmp	http://www.domain1.tl0/page0.html	SomeServer/2.0	3540	2008-04-01	2007-12-07
00000762.tmp	http://www.domain1.tl0/page1.html	SomeServer/2.0	4418	2008-04-01	2007-12-02
00000763.tmp	http://www.domain1.tl0/page2.html	SomeServer/2.0	1551	2008-04-01	2008-01-11
00000764.tmp	http://www.domain1.tl0/page3.html	SomeServer/2.0	5464	2008-04-01	2008-02-06
00000765.tmp	http://www.domain1.tl0/page4.html	SomeServer/2.0	12689	2008-04-01	2008-02-23
00000766.tmp	http://www.domain1.tl0/page5.html	SomeServer/2.0	13087	2008-04-01	2008-03-21
00000767.tmp	http://www.domain1.tl0/page6.html	SomeServer/2.0	10088	2008-04-01	2007-12-10
00000768.tmp	http://www.domain1.tl0/page7.html	SomeServer/2.0	7566	2008-04-01	2008-01-16
00000769.tmp	http://www.domain1.tl0/page8.html	SomeServer/2.0	2114	2008-04-01	2008-03-04
00000770.tmp	http://www.domain1.tl0/page9.html	SomeServer/2.0	3608	2008-04-01	2008-03-19
00000771.tmp	http://www.domain2.tl0/page0.html	SuperServer/3.0	8277	2008-04-01	2007-12-20
00000772.tmp	http://www.domain2.tl0/page1.html	SuperServer/3.0	4715	2008-04-01	2008-03-13
00000773.tmp	http://www.domain2.tl0/page2.html	SuperServer/3.0	13307	2008-04-01	2008-03-26
00000774.tmp	http://www.domain2.tl0/page3.html	SuperServer/3.0	10299	2008-04-01	2008-03-03
00000775.tmp	http://www.domain2.tl0/page4.html	SuperServer/3.0	10581	2008-04-01	2007-12-28
00000776.tmp	http://www.domain2.tl0/page5.html	SuperServer/3.0	14779	2008-04-01	2008-03-21
00000777.tmp	http://www.domain2.tl0/page6.html	SuperServer/3.0	10574	2008-04-01	2008-01-22
00000778.tmp	http://www.domain2.tl0/page7.html	SuperServer/3.0	8706	2008-04-01	2008-02-16
00000779.tmp	http://www.domain2.tl0/page8.html	SuperServer/3.0	7665	2008-04-01	2008-03-25
00000780.tmp	http://www.domain2.tl0/page9.html	SuperServer/3.0	11749	2008-04-01	2008-03-18
00000781.tmp	http://www.domain3.tl0/page0.html	SomeServer/1.0	5197	2008-04-01	2008-03-05
00000782.tmp	http://www.domain3.tl0/page1.html	SomeServer/1.0	586	2008-04-01	2008-03-09
00000783.tmp	http://www.domain3.tl0/page2.html	SomeServer/1.0	14478	2008-04-01	2008-03-07
00000784.tmp	http://www.domain3.tl0/page3.html	SomeServer/1.0	2024	2008-04-01	2008-02-16
00000785.tmp	http://www.domain3.tl0/page4.html	SomeServer/1.0	4973	2008-04-01	2008-03-12
00000786.tmp	http://www.domain3.tl0/page5.html	SomeServer/1.0	846	2008-04-01	2008-01-04
00000787.tmp	http://www.domain3.tl0/page6.html	SomeServer/1.0	4059	2008-04-01	2008-01-04
00000788.tmp	http://www.domain3.tl0/page7.html	SomeServer/1.0	10496	2008-04-01	2008-03-02
00000789.tmp	http://www.domain3.tl0/page8.html	SomeServer/1.0	14804	2008-04-01	2008-02-11
00000790.tmp	http://www.domain3.tl0/page9.html	SomeServer/1.0	3454	2008-04-01	2008-02-21
00000791.tmp	http://www.domain4.tl0/page0.html	SomeServer/2.0	9684	2008-04-01	2008-01-06
00000792.tmp	http://www.domain4.tl0/page1.html	SomeServer/2.0	2198	2008-04-01	2008-03-08
00000793.tmp	http://www.domain4.tl0/page2.html	SomeServer/2.0	10683	2008-04-01	2008-01-09
00000794.tmp	http://www.domain4.tl0/page3.html	SomeServer/2.0	13527	2008-04-01	2008-03-16
00000795.tmp	http://www.domain4.tl0/page4.html	SomeServer/2.0	8175	2008-04-01	2008-03-13
00000796.tmp	http://www.domain4.tl0/page5.html	SomeServer/2.0	8755	2008-04-01	2008-03-14
00000797.tmp	http://www.domain4.tl0/page6.html	SomeServer/2.0	5399	2008-04-01	2008-03-13
00000798.tmp	http://www.domain4.tl0/page7.html	SomeServer/2.0	4802	2008-04-01	2008-02-23
00000799.tmp	http://www.domain4.tl0/page8.html	SomeServer/2.0	9475	2008-04-01	2008-02-04
00000800.tmp	http://www.domain4.tl0/page9.html	SomeServer/2.0	2090	2008-04-01	2008-03-07
00000801.tmp	http://www.domain0.tl1/page0.html	SomeServer/1.0	366	2008-04-01	2007-12-05
00000802.tmp	http://www.domain0.tl1/page1.html	SomeServer/1.0	1911	2008-04-01	2008-02-26
00000803.tmp	http://www.domain0.tl1/page2.html	SomeServer/1.0	12308	2008-04-01	2008-02-12
00000804.tmp	http://www.domain0.tl1/page3.html	SomeServer/1.0	2096	2008-04-01	2008-02-21
00000805.tmp	http://www.domain0.tl1/page4.html	SomeServer/1.0	10202	2008-04-01	2008-03-25
00000806.tmp	http://www.domain0.tl1/page5.html	SomeServer/1.0	4886	2008-04-01	2007-12-19
